load,method,snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
2x,Hattrick,433,High,32.83635330200195,33.3272819519043,0.9852694869041443,32.83656311035156,0.999993622303009,1.0000001192092896,1.1022331714630127,0.9072491526603699,0.0,1.0000001192092896
2x,Hattrick,434,High,33.298828125,33.8240852355957,0.9844709038734436,33.299072265625,0.9999926686286926,1.0000001192092896,1.1093782186508179,0.901405930519104,0.0,1.0000001192092896
2x,Hattrick,435,High,32.40747833251953,32.93784713745117,0.983897864818573,32.40771484375,0.9999927282333374,1.0000001192092896,1.1104440689086914,0.9005407094955444,0.0,1.0000001192092896
2x,Hattrick,436,High,32.48229217529297,32.804405212402344,0.9901807904243469,32.48249816894531,0.9999936819076538,1.0000001192092896,1.0670636892318726,0.937151312828064,0.0,1.0000001192092896
2x,Hattrick,437,High,32.579071044921875,32.877994537353516,0.9909080862998962,32.57930374145508,0.999992847442627,1.0000001192092896,1.0622271299362183,0.9414183497428894,0.0,1.0000001192092896
2x,Hattrick,438,High,31.438119888305664,31.556705474853516,0.9962421655654907,31.4383602142334,0.9999923706054688,1.0,1.0246552228927612,0.9759380221366882,0.0,1.0
2x,Hattrick,439,High,31.71097755432129,32.03056335449219,0.9900224804878235,31.72287368774414,0.999625027179718,1.0,1.0625293254852295,0.9411504864692688,0.0,1.0
2x,Hattrick,440,High,31.843433380126953,32.23224639892578,0.9879371523857117,31.84406280517578,0.9999802112579346,1.0000001192092896,1.1210262775421143,0.8920398354530334,0.0,1.0000001192092896
2x,Hattrick,441,High,32.4920654296875,32.65622329711914,0.9949731230735779,32.49235534667969,0.9999910593032837,0.9999998807907104,1.2269659042358398,0.8150184750556946,0.0,0.9999998807907104
2x,Hattrick,442,High,35.93888854980469,36.38453674316406,0.9877517223358154,35.93939971923828,0.9999857544898987,1.0000001192092896,1.4086556434631348,0.7098968029022217,0.0,1.0000001192092896
2x,Hattrick,443,High,35.332984924316406,36.02265548706055,0.9808545112609863,35.333248138427734,0.9999925494194031,1.000000238418579,1.552186131477356,0.6442527770996094,0.0,1.000000238418579
2x,Hattrick,444,High,35.24835968017578,36.288124084472656,0.9713469743728638,35.24858093261719,0.9999937415122986,1.0,1.5807571411132812,0.6326082348823547,0.0,1.0
2x,Hattrick,445,High,37.64697265625,38.70869445800781,0.9725714921951294,37.647274017333984,0.9999920129776001,1.000000238418579,1.716385006904602,0.5826200246810913,0.0,1.000000238418579
2x,Hattrick,446,High,40.15766525268555,41.172664642333984,0.9753477573394775,40.15787887573242,0.999994695186615,1.0,1.681823492050171,0.5945926904678345,0.0,1.0
2x,Hattrick,447,High,42.21578598022461,43.67449951171875,0.9666003584861755,42.21596908569336,0.9999956488609314,1.0000001192092896,1.8087255954742432,0.5528755187988281,0.0,1.0000001192092896
2x,Hattrick,448,High,44.28399658203125,45.747554779052734,0.9680079221725464,44.28458023071289,0.9999868273735046,1.0,1.8270206451416016,0.5473392009735107,0.0,1.0
2x,Hattrick,449,High,46.95062255859375,48.80077362060547,0.9620876908302307,46.95219039916992,0.9999666213989258,1.0000001192092896,1.8480746746063232,0.541103720664978,0.0,1.0000001192092896
2x,Hattrick,450,High,48.96147155761719,50.89148712158203,0.9620758891105652,48.96222686767578,0.9999845623970032,1.0000001192092896,2.0334808826446533,0.49176764488220215,0.0,1.0000001192092896
2x,Hattrick,451,High,52.83448791503906,55.49192428588867,0.9521113038063049,52.835357666015625,0.999983549118042,1.000000238418579,2.209352970123291,0.45262131094932556,0.0,1.000000238418579
2x,Hattrick,452,High,55.12330627441406,58.302085876464844,0.9454774260520935,55.15562438964844,0.9994140267372131,1.0,2.5289714336395264,0.3954176604747772,0.0,1.0
2x,Hattrick,453,High,54.36824035644531,57.382362365722656,0.9474730491638184,54.37189483642578,0.9999327659606934,1.0,2.3832807540893555,0.41958966851234436,0.0,1.0
2x,Hattrick,454,High,54.97599792480469,58.65031433105469,0.9373521208763123,55.07414245605469,0.9982179403305054,1.0000001192092896,2.4454617500305176,0.4089207649230957,0.0,1.0000001192092896
2x,Hattrick,455,High,54.188751220703125,58.40483856201172,0.9278126955032349,54.232913970947266,0.9991856813430786,1.0,2.425541877746582,0.41227900981903076,0.0,1.0
2x,Hattrick,456,High,56.08980941772461,60.499717712402344,0.9271085858345032,56.16615676879883,0.9986407160758972,1.0000001192092896,2.427128314971924,0.4120095670223236,0.0,1.0000001192092896
2x,Hattrick,457,High,57.60883331298828,62.77009582519531,0.9177751541137695,57.822078704833984,0.9963120222091675,1.0,2.3584847450256348,0.4240010380744934,0.0,1.0
2x,Hattrick,458,High,59.40819549560547,64.16187286376953,0.9259111881256104,59.55216979980469,0.9975823760032654,1.0,2.3756890296936035,0.42093050479888916,0.0,1.0
2x,Hattrick,459,High,59.412132263183594,65.10098266601562,0.9126150012016296,59.53937530517578,0.9978628754615784,1.0,2.588312864303589,0.3863520622253418,0.0,1.0
2x,Hattrick,460,High,60.382057189941406,65.79720306396484,0.9176994562149048,60.543827056884766,0.9973280429840088,1.0,2.5629115104675293,0.3901812434196472,0.0,1.0
2x,Hattrick,461,High,60.134483337402344,65.16857147216797,0.9227527976036072,60.18305206298828,0.999193012714386,1.0,2.7350330352783203,0.3656263053417206,0.0,1.0
2x,Hattrick,462,High,60.050323486328125,65.53604888916016,0.916294515132904,60.17683410644531,0.9978976845741272,1.0,2.4626641273498535,0.40606430172920227,0.0,1.0
2x,Hattrick,463,High,60.48876953125,67.10050964355469,0.901465117931366,60.57726287841797,0.9985391497612,1.0000001192092896,2.629364252090454,0.38032010197639465,0.0,1.0000001192092896
2x,Hattrick,432,Medium,21.370742797851562,30.64992904663086,0.697252631187439,21.957408905029297,0.9732816219329834,1.0000001192092896,2.174201726913452,0.45993897318840027,0.0,1.0000001192092896
2x,Hattrick,433,Medium,20.758895874023438,29.743457794189453,0.6979314684867859,21.21469497680664,0.9785149097442627,1.0000001192092896,2.0541915893554688,0.4868095815181732,0.0,1.0000001192092896
2x,Hattrick,434,Medium,21.67103385925293,29.894237518310547,0.7249234318733215,22.204544067382812,0.9759729504585266,1.0000001192092896,2.068408727645874,0.48346349596977234,0.0,1.0000001192092896
2x,Hattrick,435,Medium,21.441925048828125,29.511154174804688,0.726570188999176,22.0087890625,0.9742437601089478,1.0,2.1056599617004395,0.4749104976654053,0.0,1.0
2x,Hattrick,436,Medium,21.721492767333984,29.68134307861328,0.7318230867385864,22.256038665771484,0.9759820103645325,1.0000001192092896,2.061002016067505,0.4852009415626526,0.0,1.0000001192092896
