snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
441,High,32.492183685302734,32.65622329711914,0.9949767589569092,32.49235534667969,0.999994695186615,1.000000238418579,1.2269659042358398,0.8150187730789185,0.0,1.000000238418579
442,High,35.93901443481445,36.38453674316406,0.9877551794052124,35.93939971923828,0.9999892711639404,1.0000001192092896,1.4086556434631348,0.7098968029022217,0.0,1.0000001192092896
443,High,35.33311080932617,36.02265930175781,0.9808579087257385,35.333248138427734,0.9999961256980896,1.0000001192092896,1.552186131477356,0.6442527174949646,0.0,1.0000001192092896
444,High,35.24843978881836,36.28812026977539,0.97134929895401,35.24858093261719,0.9999960064888,1.0,1.5807571411132812,0.6326082348823547,0.0,1.0
445,High,37.64703369140625,38.70869445800781,0.9725730419158936,37.647274017333984,0.999993622303009,1.0,1.716385006904602,0.582619845867157,0.0,1.0
446,High,40.15771484375,41.172664642333984,0.975348949432373,40.15787887573242,0.9999958872795105,1.0000001192092896,1.681823492050171,0.594592809677124,0.0,1.0000001192092896
447,High,42.21585464477539,43.67449951171875,0.9666019082069397,42.21596908569336,0.9999973177909851,1.0,1.8087255954742432,0.5528754591941833,0.0,1.0
448,High,44.25630187988281,45.747554779052734,0.9674025774002075,44.28458023071289,0.9993614554405212,1.000000238418579,1.8270206451416016,0.5473393201828003,0.0,1.000000238418579
449,High,46.92471694946289,48.800777435302734,0.9615567326545715,46.95219039916992,0.99941486120224,1.0000004768371582,1.8480746746063232,0.5411039590835571,0.0,1.0000004768371582
450,High,48.91468048095703,50.89148712158203,0.96115642786026,48.96222686767578,0.9990289211273193,1.000000238418579,2.0334808826446533,0.4917677044868469,0.0,1.000000238418579
451,High,52.824424743652344,55.49193572998047,0.9519297480583191,52.835357666015625,0.9997930526733398,1.000000238418579,2.209352970123291,0.45262131094932556,0.0,1.000000238418579
452,High,54.7947998046875,58.302085876464844,0.9398428797721863,55.15562438964844,0.993458092212677,1.000000238418579,2.5289714336395264,0.3954177796840668,0.0,1.000000238418579
453,High,54.303062438964844,57.38235855102539,0.9463372230529785,54.37189483642578,0.9987340569496155,1.0000007152557373,2.3832807540893555,0.41958996653556824,0.0,1.0000007152557373
